"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-01","0.24",,"41","37"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-02","0.00",,"45","35"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-03","0.12",,"52","38"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-04","0.03",,"67","48"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-05","0.41",,"51","45"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-06","0.00",,"47","30"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-07","0.00",,"55","27"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-08","0.04",,"65","51"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-09","0.00",,"62","50"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-10","0.00",,"62","55"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-11","0.02",,"60","54"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-12","0.05",,"58","45"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-13","0.00",,"65","50"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-14","0.00",,"63","56"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-15","0.16",,"53","45"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-16","0.37",,"51","39"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-17","0.00",,"60","45"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-18","0.04",,"64","53"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-19","0.00",,"67","53"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-20","0.17",,"57","49"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-21","0.01",,"59","42"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-22","0.01",,"60","42"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-23","0.00",,"60","44"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-24","0.03",,"59","42"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-25","0.84",,"60","49"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-26","0.56",,"49","46"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-27","0.00",,"56","40"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-28","0.00",,"60","45"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-29","0.00",,"62","48"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-30","0.56",,"57","51"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-01-31","0.05",,"57","47"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-01","0.41",,"54","48"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-02","0.00",,"60","50"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-03","0.00",,"60","48"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-04","0.56",,"62","46"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-05","0.00",,"57","41"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-06","0.00",,"59","36"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-07","0.00",,"65","37"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-08","0.00",,"55","36"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-09","0.03",,"57","38"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-10","0.02",,"55","45"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-11","0.17",,"56","45"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-12","0.02",,"56","44"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-13","0.50",,"57","38"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-14","0.20",,"46","34"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-15","1.31",,"46","33"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-16","0.09",,"50","38"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-17","0.32",,"59","47"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-18","0.74",,"50","45"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-19","0.00",,"56","37"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-20","0.02",,"56","36"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-21","0.02",,"58","39"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-22","0.00",,"58","38"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-23","0.02",,"58","47"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-24","0.18",,"54","40"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-25","1.19",,"49","41"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-26","0.44",,"49","37"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-27","0.13",,"48","33"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-02-28","0.00",,"45","31"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-03-01","0.00",,"44","38"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-03-02","0.36",,"46","36"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-03-03","0.51",,"46","38"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-03-04","0.48",,"51","39"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-03-05","0.13",,"50","41"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-03-06","0.00",,"53","36"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-03-07","0.18",,"54","34"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-03-08","0.71",,"50","37"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-03-09","0.00",,"50","32"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-03-10","0.30",,"51","29"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-03-11","0.00",,"51","31"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-03-12","0.01",,"57","29"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-03-13","0.00",,"54","31"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-03-14","0.04",,"53","38"
"SPE00120611","BILBAO AEROPUERTO, SP","1970-03-15","0.26",,"45","42"
